transaction_id,timestamp,phone_hash,bank,account_id,transaction_type,amount,direction,beneficiary_merchant,atm_id,city,channel,fraud_label
TXN-0000024,2023-03-08 01:43:32,f9aa1d9bdfd41097,Kotak,AC-156324,POS,8804.92,debit,GooglePay,,Madurai,POS,no
TXN-0000025,2020-09-25 07:08:37,7b63c1eb0ee297c7,SBI,AC-360968,UPI,71206.62,credit,Razorpay,,Hyderabad,online,no
TXN-0000026,2020-10-18 16:44:27,d16c54e1449a0641,Union,AC-280774,UPI,72883.24,credit,BigBasket,,Delhi,online,no
TXN-0000027,2019-09-05 12:27:02,220e8f9e85e79ff4,PNB,AC-671501,NEFT,93842.85,debit,Razorpay,,Indore,online,no
TXN-0000028,2023-07-11 02:44:40,0eeb9532ce030a65,Yes,AC-956423,NET_BANKING,138491.77,debit,PhonePe,,Kolkata,online,no
TXN-0000029,2022-01-09 13:23:38,36fb51a3a6eb29b5,PNB,AC-415661,ATM_WITHDRAWAL,5000,debit,,ATM-00046,Pune,ATM,no
TXN-0000030,2019-03-11 19:04:21,6442210596f82f94,Canara,AC-300547,UPI,124090.99,credit,Paytm,,Patna,online,no
TXN-0000031,2024-07-14 22:05:22,c3c9dcc91ec593d0,HDFC,AC-516707,NET_BANKING,138357.09,credit,Reliance Digital,,Jaipur,online,no
TXN-0000032,2020-05-11 11:16:00,845f39b20209add3,Axis,AC-660307,ATM_WITHDRAWAL,1000,debit,,ATM-00225,Kolkata,ATM,no
TXN-0000033,2022-04-05 19:52:56,be40c48f18e58f46,Canara,AC-474103,POS,7828.64,credit,Flipkart,,Jaipur,POS,no
TXN-0000034,2024-12-16 06:44:03,3140474cf1f13166,BOB,AC-689727,IMPS,159723.74,debit,Razorpay,,Pune,online,no
TXN-0000035,2022-07-20 01:08:15,5542a03ca640d785,HDFC,AC-586525,UPI,116499.45,debit,Myntra,,Indore,online,no
TXN-0000036,2020-06-14 19:07:12,e8fc3bf66680356e,Canara,AC-951873,ATM_WITHDRAWAL,20000,debit,,ATM-01336,Kolkata,ATM,no
TXN-0000037,2024-12-08 10:16:23,6a126583242ac5f3,Union,AC-176313,UPI,2505.82,debit,Zomato,,Madurai,online,no
TXN-0000038,2020-11-12 15:30:47,78997dd232f8ee48,PNB,AC-297397,NEFT,195306.02,debit,Spotify,,Madurai,online,no
TXN-0000039,2023-05-06 14:54:34,60243dd86214fe54,ICICI,AC-929416,IMPS,11490.85,debit,Zomato,,Surat,online,no
TXN-0000040,2019-03-07 13:07:34,9c5063c20554856e,PNB,AC-968156,NET_BANKING,129010.7,credit,Myntra,,Delhi,online,no
TXN-0000041,2020-12-01 04:44:44,3e7db3ce8d340e8e,Union,AC-418824,UPI,187068.24,debit,PhonePe,,Indore,online,no
TXN-0000042,2023-12-10 14:43:31,2060d71509427f3e,Yes,AC-619152,CASH_DEPOSIT,143010.26,debit,,,Surat,online,no
TXN-0000043,2024-10-22 15:08:56,30d2b10158a553f2,HDFC,AC-363949,POS,183506.43,debit,Swiggy,,Coimbatore,POS,no
TXN-0000044,2020-06-03 15:56:45,bc16e60e66013ce4,Kotak,AC-617439,NEFT,195949.9,credit,Amazon,,Chennai,online,no
TXN-0000045,2021-06-18 03:07:06,12c110871ccfac02,SBI,AC-222579,CASH_DEPOSIT,24448.3,credit,,,Chennai,online,no
TXN-0000046,2021-02-27 05:47:39,ae842210ecf64b48,ICICI,AC-721277,RTGS,111526.69,credit,DMart,,Indore,online,no
TXN-0000047,2022-08-24 20:58:04,3d772e6c73a127c6,BOB,AC-298874,UPI,99965.18,debit,GooglePay,,Coimbatore,online,no
TXN-0000048,2019-04-04 22:25:07,adf27afc1212dbb8,BOB,AC-336340,UPI,26048.8,credit,Spotify,,Pune,online,no
TXN-0000049,2022-09-19 14:22:22,164e70048a4aa605,Kotak,AC-965367,IMPS,152216.99,debit,Flipkart,,Delhi,online,no
TXN-0000050,2020-08-29 09:45:01,31c2cf5d0885ee7f,SBI,AC-245467,UPI,47773.59,debit,Spotify,,Kolkata,online,yes
TXN-0000051,2022-08-11 01:36:16,cc4962ef40077737,PNB,AC-288684,UPI,118537.41,debit,Zomato,,Ahmedabad,online,no
TXN-0000052,2019-09-03 17:28:12,f328dc8bb2c29156,HDFC,AC-276831,NEFT,128090.38,debit,Spotify,,Jaipur,online,no
TXN-0000053,2023-10-01 10:58:47,d27419963be8a18c,Yes,AC-105867,IMPS,75665.64,debit,GooglePay,,Hyderabad,online,no
TXN-0000054,2019-03-29 02:31:44,31c2cf5d0885ee7f,Union,AC-993141,RTGS,266874.94,debit,PhonePe,,Hyderabad,online,yes
TXN-0000055,2022-04-02 04:36:03,d781c5cbd0621687,HDFC,AC-784795,IMPS,76716.08,credit,Amazon,,Hyderabad,online,no
TXN-0000056,2020-09-15 08:26:28,555be09664c1aba8,ICICI,AC-758590,ATM_WITHDRAWAL,1000,debit,,ATM-01433,Pune,ATM,no
TXN-0000057,2024-03-10 12:44:53,0604f838de1ce9e3,Yes,AC-817184,POS,22580.94,debit,Paytm,,Lucknow,POS,no
TXN-0000058,2022-08-19 13:21:57,fe13579234aec0eb,PNB,AC-699691,POS,199797.22,credit,Swiggy,,Hyderabad,POS,no
TXN-0000059,2021-06-03 11:59:27,c84473ef612989b9,Union,AC-508252,UPI,66510.66,debit,Zomato,,Hyderabad,online,yes
TXN-0000060,2021-09-07 11:55:59,017e597aee554912,Canara,AC-827464,UPI,52548.49,credit,Croma,,Bengaluru,online,no
TXN-0000061,2022-04-03 02:45:06,9bafc7f533e7ed68,Union,AC-455911,ATM_WITHDRAWAL,15000,debit,,ATM-01141,Coimbatore,ATM,no
TXN-0000062,2019-01-03 09:33:14,ba90ca0205408a79,BOB,AC-631701,UPI,125466.47,credit,DMart,,Chennai,online,no
TXN-0000063,2019-05-23 23:02:32,0e54eb2725ae279c,BOB,AC-998296,ATM_WITHDRAWAL,20000,debit,,ATM-00365,Ahmedabad,ATM,no
TXN-0000064,2024-08-11 04:40:08,9517a002be7f7757,Axis,AC-427929,POS,63577.84,credit,Myntra,,Coimbatore,POS,no
TXN-0000065,2023-09-09 02:09:27,e95ee47eb09b64df,ICICI,AC-746535,IMPS,182977.94,debit,Croma,,Delhi,online,no
TXN-0000066,2023-02-10 14:17:35,3169ec42560bf844,Union,AC-806005,CASH_DEPOSIT,168921.17,debit,,,Surat,online,no
TXN-0000067,2021-02-25 00:00:39,643777162e1d569b,ICICI,AC-581721,UPI,73872.13,debit,DMart,,Patna,online,no
TXN-0000068,2020-07-15 06:04:20,388280c891671791,HDFC,AC-160156,NET_BANKING,171241.25,credit,DMart,,Surat,online,no
TXN-0000069,2019-02-26 02:15:47,854b61d62a787789,HDFC,AC-268043,NEFT,6007.71,debit,Reliance Digital,,Kolkata,online,no
TXN-0000070,2019-10-08 15:50:14,9fee201bfa82357f,Kotak,AC-546835,RTGS,183708.79,credit,Reliance Digital,,Surat,online,no
TXN-0000071,2022-06-29 06:55:43,f6899f55900a5144,PNB,AC-565619,UPI,135456.44,credit,Netflix,,Hyderabad,online,no
TXN-0000072,2022-10-18 13:01:39,7b69f25a7839ce0a,BOB,AC-993534,ATM_WITHDRAWAL,500,debit,,ATM-00904,Hyderabad,ATM,no
TXN-0000073,2021-11-22 05:41:07,c207e38ec674899f,Canara,AC-237932,IMPS,102107.53,debit,Paytm,,Lucknow,online,no
TXN-0000074,2021-03-11 12:22:53,4b4921fe90c27af9,PNB,AC-513686,POS,14809.54,credit,Razorpay,,Surat,POS,no
TXN-0000075,2021-11-26 08:29:11,e51f831ea6844c6c,HDFC,AC-148606,NET_BANKING,170964.34,debit,Myntra,,Pune,online,no
TXN-0000076,2022-03-14 18:27:14,9cbb8758dc5b4a26,HDFC,AC-731317,IMPS,88840.45,credit,Zomato,,Madurai,online,no
TXN-0000077,2019-11-21 13:13:20,c9b48665a921982f,Axis,AC-863898,POS,62197.58,credit,Amazon,,Chennai,POS,no
TXN-0000078,2024-04-24 18:52:15,17775b8d4ed26e3a,HDFC,AC-885514,IMPS,26499.77,debit,Myntra,,Mumbai,online,no
TXN-0000079,2022-05-26 01:25:18,f3d2c353e2e48c2a,ICICI,AC-734434,ATM_WITHDRAWAL,10000,debit,,ATM-00914,Chennai,ATM,no
TXN-0000080,2020-09-08 07:55:17,59f6c61bf18fb713,HDFC,AC-214439,RTGS,141031.37,credit,Reliance Digital,,Chennai,online,no
TXN-0000081,2024-11-07 23:29:52,93dc8f519e083b40,SBI,AC-732705,NET_BANKING,80360.07,debit,Swiggy,,Ahmedabad,online,no
TXN-0000082,2021-12-20 00:29:00,35bc1af4fa3bb292,Yes,AC-264903,CASH_DEPOSIT,41732.72,debit,,,Ahmedabad,online,no
TXN-0000083,2022-09-16 03:31:05,9ce9782065f4e0e9,Canara,AC-350190,UPI,144805.03,debit,Swiggy,,Patna,online,no
TXN-0000084,2022-04-12 01:20:36,a40b19d48add169c,ICICI,AC-723879,POS,49799.06,credit,Myntra,,Hyderabad,POS,no
TXN-0000085,2023-07-22 17:04:16,1267284d8cf7f6ab,BOB,AC-165659,CASH_DEPOSIT,173744.91,debit,,,Mumbai,online,no
TXN-0000086,2022-01-21 01:51:52,24c66febddcbd03d,BOB,AC-987498,IMPS,48726.63,credit,DMart,,Ahmedabad,online,no
TXN-0000087,2021-03-09 17:37:27,b595a31774142b15,ICICI,AC-194224,NEFT,35246.34,debit,Myntra,,Jaipur,online,no
TXN-0000088,2022-08-03 00:48:58,1756c28ce4cffdcd,Yes,AC-919826,CASH_DEPOSIT,81374.75,credit,,,Kolkata,online,no
TXN-0000089,2019-09-28 04:26:17,4369aff2b5931682,ICICI,AC-984601,RTGS,93149.0,credit,BigBasket,,Pune,online,no
TXN-0000090,2023-02-02 06:59:15,af92f15b75b9135c,ICICI,AC-417424,POS,76926.57,debit,Croma,,Pune,POS,no
TXN-0000091,2022-10-25 23:13:09,10ae3afcde6a2899,Canara,AC-366981,IMPS,196072.24,debit,Netflix,,Madurai,online,no
TXN-0000092,2021-12-08 18:56:28,d3c4b44b0a033946,Axis,AC-939384,NEFT,70592.75,credit,BigBasket,,Indore,online,no
TXN-0000093,2021-07-19 04:00:30,2056cf6a7f99aa44,Axis,AC-769818,POS,145834.34,debit,Croma,,Madurai,POS,no
TXN-0000094,2023-09-03 09:38:58,4b6557f4507659f4,Yes,AC-181181,ATM_WITHDRAWAL,500,debit,,ATM-00246,Mumbai,ATM,no
TXN-0000095,2023-10-02 14:37:48,630b5a674ff00a3a,Union,AC-611535,UPI,48472.33,credit,Paytm,,Kolkata,online,no
TXN-0000096,2019-03-18 07:50:38,9517a002be7f7757,Kotak,AC-752357,NET_BANKING,70749.51,debit,Razorpay,,Madurai,online,no
TXN-0000097,2024-03-16 21:20:26,551e4f218ca680b4,ICICI,AC-684279,NEFT,25236.99,debit,DMart,,Mumbai,online,no
TXN-0000098,2022-01-09 01:22:05,bc4d0891d7cd4e14,Kotak,AC-706025,CASH_DEPOSIT,123396.81,credit,,,Hyderabad,online,no
TXN-0000099,2024-05-19 15:48:08,71921c76a7e9ee9b,BOB,AC-239248,NEFT,151597.55,debit,Netflix,,Kolkata,online,no
TXN-0000100,2023-01-06 14:02:23,9d817613f67c0809,HDFC,AC-957856,CASH_DEPOSIT,161179.86,credit,,,Delhi,online,no
TXN-0000101,2023-06-22 09:07:09,29133f458c7b2e2c,HDFC,AC-560327,IMPS,192461.29,credit,Swiggy,,Ahmedabad,online,no
TXN-0000102,2020-01-06 02:55:19,ebd4ff65be4fdc4f,HDFC,AC-986680,POS,125703.1,credit,Paytm,,Madurai,POS,no
TXN-0000103,2021-07-06 11:55:31,d47d2dfa96005495,HDFC,AC-464917,CASH_DEPOSIT,18663.4,debit,,,Hyderabad,online,no
TXN-0000104,2022-11-20 20:11:56,adf3c32f7ae08cbe,Yes,AC-584835,IMPS,82639.95,debit,Amazon,,Hyderabad,online,no
TXN-0000105,2019-05-11 06:40:24,c5563b30d69fde34,Union,AC-658789,NEFT,109592.44,debit,Reliance Digital,,Lucknow,online,no
TXN-0000106,2021-12-08 23:37:27,274943bfc458576e,ICICI,AC-599205,ATM_WITHDRAWAL,15000,debit,,ATM-01284,Patna,ATM,no
TXN-0000107,2022-12-17 15:12:43,1107d9064781f253,Union,AC-318758,IMPS,140607.8,credit,DMart,,Mumbai,online,no
TXN-0000108,2021-03-11 20:42:00,55f68ff6b5a31431,SBI,AC-596793,ATM_WITHDRAWAL,1000,debit,,ATM-01864,Patna,ATM,no
TXN-0000109,2019-10-07 08:16:19,874a289ce66ca5ae,Yes,AC-579048,NEFT,48268.46,credit,Amazon,,Ahmedabad,online,no
TXN-0000110,2023-08-30 16:24:08,6c24ff3e216c17a9,Union,AC-831610,NET_BANKING,101161.46,credit,Swiggy,,Delhi,online,no
TXN-0000111,2019-04-10 01:31:36,c3d487b581719ca0,Yes,AC-801124,RTGS,185721.67,debit,Zomato,,Patna,online,no
TXN-0000112,2021-02-07 11:27:45,c3acded593b5532b,PNB,AC-923511,RTGS,44807.41,debit,Swiggy,,Chennai,online,no
TXN-0000113,2022-07-17 11:54:32,856ab7e0b94f1f4e,HDFC,AC-457788,CASH_DEPOSIT,67321.84,debit,,,Chennai,online,no
TXN-0000114,2021-08-30 23:08:09,b230436c93e98ea8,Kotak,AC-592912,NEFT,40015.39,credit,Netflix,,Mumbai,online,no
TXN-0000115,2023-06-03 09:50:53,5e98043a1f572cac,PNB,AC-949856,NET_BANKING,34576.38,debit,Flipkart,,Indore,online,yes
TXN-0000116,2020-10-14 18:15:49,6fb3f9af30e5ca79,Axis,AC-943736,NEFT,34269.29,credit,Zomato,,Mumbai,online,no
TXN-0000117,2021-10-02 14:37:36,f3500292abed1e4a,Axis,AC-191720,NET_BANKING,15135.74,credit,Razorpay,,Pune,online,no
TXN-0000118,2024-03-11 03:01:04,1a08c3ecbca37430,PNB,AC-945739,UPI,10173.88,credit,PhonePe,,Pune,online,no
TXN-0000119,2024-08-27 05:11:03,619edd3cf7146d38,Yes,AC-866797,CASH_DEPOSIT,14305.58,debit,,,Lucknow,online,no
TXN-0000120,2021-01-15 22:22:05,0f7fcf0200d7de58,PNB,AC-532379,NET_BANKING,12653.46,debit,BigBasket,,Jaipur,online,no
TXN-0000121,2020-10-01 16:01:46,d41790bb2831e5f2,SBI,AC-452015,POS,73855.69,credit,Croma,,Ahmedabad,POS,no
TXN-0000122,2023-10-11 21:16:24,9a2b764a6b503c1f,PNB,AC-895156,POS,124531.07,debit,BigBasket,,Delhi,POS,no
TXN-0000123,2019-09-09 18:47:12,3919bd40e30a5b4a,Kotak,AC-107887,NET_BANKING,119027.22,debit,GooglePay,,Jaipur,online,no
TXN-0000124,2022-02-25 17:09:15,a1d56634d23bdf5e,HDFC,AC-460456,CASH_DEPOSIT,20333.7,credit,,,Pune,online,no
TXN-0000125,2023-07-04 22:20:19,366c2d0e43164097,PNB,AC-584001,CASH_DEPOSIT,158475.87,debit,,,Jaipur,online,no
TXN-0000126,2024-05-20 01:22:38,73e2fe3d29ad8265,Union,AC-598142,UPI,166617.21,debit,Swiggy,,Pune,online,no
TXN-0000127,2019-01-16 22:44:57,e1c719715d7d2415,ICICI,AC-890502,IMPS,179502.2,credit,Netflix,,Ahmedabad,online,no
TXN-0000128,2019-09-04 11:03:00,b2b9c7da14b0776b,SBI,AC-444169,POS,163931.62,credit,Zomato,,Indore,POS,no
TXN-0000129,2023-05-26 20:35:56,136db2f2e0141194,BOB,AC-866989,POS,192118.15,credit,Razorpay,,Chennai,POS,no
TXN-0000130,2022-07-13 11:48:33,a32d1adc4a1c60dd,Axis,AC-454600,NEFT,6750.07,credit,Swiggy,,Mumbai,online,no
TXN-0000131,2022-06-24 07:28:36,9759bcfc752edee8,ICICI,AC-386680,NET_BANKING,24861.95,credit,Reliance Digital,,Surat,online,no
TXN-0000132,2022-01-03 07:50:55,d27fe4e8d8ebe9ee,Canara,AC-556323,RTGS,76916.17,credit,Swiggy,,Lucknow,online,no
TXN-0000133,2020-11-13 10:18:17,fdf3763d05f8921c,BOB,AC-774560,ATM_WITHDRAWAL,3000,debit,,ATM-00406,Ahmedabad,ATM,no
TXN-0000134,2022-08-21 10:09:21,36d22edbd44f7359,ICICI,AC-195198,POS,62504.68,debit,Razorpay,,Bengaluru,POS,no
TXN-0000135,2024-12-09 19:18:57,b4912b23d85878fd,Axis,AC-224107,UPI,131688.55,debit,Netflix,,Mumbai,online,no
TXN-0000136,2024-05-20 18:09:15,404fa01305b55282,Union,AC-595599,NEFT,88924.97,credit,Swiggy,,Coimbatore,online,no
TXN-0000137,2021-02-08 11:41:15,14befdcbd0e37b46,ICICI,AC-253856,POS,191147.11,credit,BigBasket,,Bengaluru,POS,no
TXN-0000138,2020-01-16 21:53:41,b4b51debcd9d2a5d,Kotak,AC-694208,NEFT,190009.87,credit,DMart,,Mumbai,online,no
TXN-0000139,2024-04-17 09:42:15,daf2d3d3d4247db3,Canara,AC-866107,UPI,8749.3,debit,Netflix,,Ahmedabad,online,no
TXN-0000140,2019-04-15 00:52:57,fa7c562b96720c18,Kotak,AC-827375,NET_BANKING,170923.61,debit,PhonePe,,Kolkata,online,no
TXN-0000141,2019-05-10 08:04:44,15ed4b6ad23b5103,BOB,AC-315082,CASH_DEPOSIT,144721.09,credit,,,Delhi,online,no
TXN-0000142,2021-09-15 13:08:57,c6ec96900af992ad,Axis,AC-975970,NEFT,31302.64,credit,Zomato,,Delhi,online,no
TXN-0000143,2020-04-30 06:20:41,78f2959a18bee806,Union,AC-281975,IMPS,135353.02,debit,Myntra,,Hyderabad,online,no
TXN-0000144,2022-09-06 12:45:32,fa00b18e20c70401,Kotak,AC-796291,NEFT,67880.4,debit,Amazon,,Patna,online,no
TXN-0000145,2023-02-01 05:35:02,8e66e4683f2fcef7,BOB,AC-581932,NET_BANKING,288102.78,debit,Netflix,,Chennai,online,yes
TXN-0000146,2022-08-10 08:51:02,e53057f5b0427ff1,Kotak,AC-165380,IMPS,172617.83,credit,Amazon,,Surat,online,no
TXN-0000147,2023-12-25 22:23:18,e2f46b7ea62c34c5,SBI,AC-909806,NET_BANKING,197065.14,debit,Croma,,Bengaluru,online,no
TXN-0000148,2021-10-09 21:12:55,598549bb7d8bcb84,Kotak,AC-163540,CASH_DEPOSIT,141726.88,credit,,,Lucknow,online,no
TXN-0000149,2021-05-15 04:29:13,576b4c7cf8d932dd,Union,AC-420343,NEFT,138160.78,debit,Myntra,,Pune,online,no
TXN-0000150,2023-06-19 05:47:29,ded6151fc6bc240f,Kotak,AC-751860,CASH_DEPOSIT,71411.97,debit,,,Surat,online,no
TXN-0000151,2020-03-04 15:16:36,e232f88c309d3147,Canara,AC-416263,POS,45291.17,debit,PhonePe,,Indore,POS,no
TXN-0000152,2023-02-16 16:52:46,5de0daa5a5484845,Canara,AC-475188,NET_BANKING,170959.0,credit,Flipkart,,Pune,online,no
TXN-0000153,2021-02-04 11:50:09,694f9c05b3d88a08,SBI,AC-463488,IMPS,173304.84,credit,Swiggy,,Bengaluru,online,no
TXN-0000154,2023-06-27 14:59:53,0690300b229fdcbd,Union,AC-559573,IMPS,165201.56,debit,Croma,,Ahmedabad,online,no
TXN-0000155,2019-10-22 13:50:08,7f0ed021eef69342,SBI,AC-561694,RTGS,102099.75,credit,PhonePe,,Patna,online,no
TXN-0000156,2019-06-03 07:38:22,cdcaa46b61b2269b,Yes,AC-435351,NEFT,138909.89,debit,Spotify,,Surat,online,yes
TXN-0000157,2024-11-08 21:10:18,91843ad5a2559919,Kotak,AC-194127,ATM_WITHDRAWAL,5000,debit,,ATM-01848,Lucknow,ATM,no
TXN-0000158,2022-06-28 15:59:19,7125c72f49962f65,Axis,AC-852036,NET_BANKING,19876.39,debit,Myntra,,Jaipur,online,no
TXN-0000159,2022-07-05 06:18:35,4c3847d154e510e1,BOB,AC-619416,IMPS,12192.53,credit,Amazon,,Ahmedabad,online,no
TXN-0000160,2023-03-14 16:16:32,15a162842a905e17,Kotak,AC-856067,UPI,185079.23,debit,Swiggy,,Coimbatore,online,no
TXN-0000161,2021-06-27 03:34:00,8326969a51615743,PNB,AC-821579,IMPS,82737.78,credit,Razorpay,,Hyderabad,online,no
TXN-0000162,2021-02-04 18:44:32,7236719e5a456f86,SBI,AC-205108,CASH_DEPOSIT,73397.75,debit,,,Mumbai,online,no
TXN-0000163,2023-07-05 18:59:53,a6f02f027784e7c9,SBI,AC-840160,NET_BANKING,12525.52,debit,Croma,,Kolkata,online,no
TXN-0000164,2022-09-24 19:29:15,f7c51ebb8a6ed8d0,Axis,AC-118961,POS,54370.64,debit,Swiggy,,Patna,POS,no
TXN-0000165,2019-03-04 14:35:08,65aa2bfcdacbe6d1,PNB,AC-967320,CASH_DEPOSIT,73639.14,credit,,,Bengaluru,online,no
TXN-0000166,2022-03-12 14:35:31,44c9e250722b9f50,Axis,AC-836160,NET_BANKING,5968.08,debit,Swiggy,,Bengaluru,online,no
TXN-0000167,2020-12-07 06:47:03,12634c0970cd5599,ICICI,AC-627672,ATM_WITHDRAWAL,3000,debit,,ATM-00606,Ahmedabad,ATM,no
TXN-0000168,2024-06-29 06:47:47,b0d4d0eadfa179d3,SBI,AC-959825,ATM_WITHDRAWAL,25000,debit,,ATM-01010,Kolkata,ATM,no
TXN-0000169,2024-02-07 11:59:28,ab718e6798a55aff,SBI,AC-470815,NEFT,34153.15,debit,Spotify,,Mumbai,online,no
TXN-0000170,2024-03-14 05:46:14,338c17a3f745945e,Union,AC-994561,ATM_WITHDRAWAL,15000,debit,,ATM-00490,Surat,ATM,no
TXN-0000171,2020-05-08 23:36:08,5ab08ceef1c8830d,HDFC,AC-947212,POS,11272.48,credit,Myntra,,Hyderabad,POS,no
TXN-0000172,2021-08-22 12:26:20,2f960073ef37f934,PNB,AC-103784,ATM_WITHDRAWAL,15000,debit,,ATM-01688,Jaipur,ATM,no
TXN-0000173,2022-04-28 22:16:48,099f52dca64f66ea,ICICI,AC-828235,ATM_WITHDRAWAL,20000,debit,,ATM-01942,Ahmedabad,ATM,no
TXN-0000174,2020-05-04 19:21:31,93d46362b7aa9dcd,Axis,AC-680134,NEFT,96383.43,credit,Flipkart,,Jaipur,online,no
TXN-0000175,2023-03-01 08:02:46,c83184b3c2542bd3,BOB,AC-854963,UPI,105791.02,debit,PhonePe,,Bengaluru,online,no
TXN-0000176,2020-01-08 13:54:42,07769296eb383325,SBI,AC-354022,NET_BANKING,188375.25,debit,Swiggy,,Ahmedabad,online,no
TXN-0000177,2019-07-03 01:47:52,8d9da16ca73c9ae3,ICICI,AC-397193,NET_BANKING,83282.8,debit,Swiggy,,Chennai,online,no
TXN-0000178,2022-07-25 02:10:36,3f500bc3631bb3dc,ICICI,AC-519232,IMPS,117081.68,credit,GooglePay,,Jaipur,online,no
TXN-0000179,2019-03-04 02:45:18,f42a37ca7d1e8333,ICICI,AC-975453,IMPS,136351.18,credit,GooglePay,,Patna,online,no
TXN-0000180,2023-05-18 19:59:47,85ff62e9cf6e9923,Axis,AC-159033,ATM_WITHDRAWAL,10000,debit,,ATM-00708,Ahmedabad,ATM,no
TXN-0000181,2023-08-02 16:33:10,f2b4d0b0593ac4c3,PNB,AC-552067,NET_BANKING,197279.69,credit,Netflix,,Patna,online,no
TXN-0000182,2024-10-17 13:48:12,555be09664c1aba8,Union,AC-678442,ATM_WITHDRAWAL,5000,debit,,ATM-00620,Mumbai,ATM,no
TXN-0000183,2024-12-04 06:47:59,08c4903423d086b7,Kotak,AC-583976,IMPS,111040.56,debit,Flipkart,,Madurai,online,no
TXN-0000184,2021-07-03 13:48:29,7ac83595f5d6c6d7,Yes,AC-579607,ATM_WITHDRAWAL,1000,debit,,ATM-01748,Jaipur,ATM,no
TXN-0000185,2021-08-24 10:01:35,26cdfdeed71061aa,ICICI,AC-812772,NEFT,113981.66,credit,GooglePay,,Coimbatore,online,no
TXN-0000186,2019-05-18 19:15:21,b3b92da146a5b8c8,HDFC,AC-739614,CASH_DEPOSIT,21740.84,debit,,,Mumbai,online,no
TXN-0000187,2024-03-14 09:34:28,5bec7dcdc8ec88f0,SBI,AC-309464,IMPS,164342.15,debit,Paytm,,Pune,online,no
